user,majorContributor,responses,topics,avgNumberOfResponsesPerTopic,avgNumberOfResponsesBeforeResponse,avgNumberOfResponsesAfterResponse,entropy,yearJoined,firstDayResponse,avgGap,avgStd
michelle_mom_of_two_,0,4,1,0,0,0,0.36458166,1,16,3.2,19.05360858
michelle_p,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
michelle_page,0,1,1,0,0,0,0.129106649,6,0,1,1
michelle_reinhardt,0,15,5,0,0,0,3.817435229,0,3,0.25,83.42809778
michiko,0,6,0,0,0,0,1.767257007,2,14,4.166666667,5.814254514
michsmk,0,2,1,0,0,0,0.729163319,7,11,3.666666667,0
micky,0,11,4,0,0,0,2.030873766,1,2,1.066666667,21.12649732
midnightbutterflyiri,0,24,0,0,0,0,2.839672517,0,6,0.583333333,30.93934478
mike13,0,19,6,0,0,0,2.439596065,1,7,0.28,77.12715734
mike16,0,4,2,0,0,0,0.64214909,1,40,7.166666667,1.414213562
mike24,0,2,0,0,0,0,0.178019898,2,7,5.5,2
mike52,0,4,0,0,0,0,0.696168833,4,5,6.25,21.39363223
mike67,0,3,0,0,0,0,1.044253249,6,19,6.333333333,7.542472333
mike_gaier,0,8,2,0,0,0,1.789408809,1,0,3.5,8.604649906
mike_kasprzak,0,5,2,0,0,0,0.534059693,2,7,1,5.421047417
mike_schwimmer,0,2,0,0,0,0,0.696168833,0,6,3,5
mike_w1,1,3,2,0,0,0,1.044253249,3,0,2.4,5.230678732
mikelcycle,0,17,3,0,0,0,3.378301605,1,3,0.15,106.8735117
mikemc,0,5,0,0,0,0,0.645533244,4,7,1.4,1.6
mikep,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
miki,0,5,1,0,0,0,1.392337665,3,15,2.5,22.76449477
mikki1,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
mila2,1,0,1,0,0,0,0.348084416,3,5,5,0
millieska,0,4,0,0,22.5,5.5,0.579994925,7,3,0.75,11.23332097
mimi1,0,3,1,0,0,0,0.36458166,3,25,6.25,17
mismelissa,1,4,2,0,0,0,1.458326639,6,11,1.833333333,11.93035345
misslj,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
misty12,0,1,1,2,1,1,0.325427612,6,0,1.5,1.5
misty6,0,6,0,0,0,0,2.170992715,3,34,5.666666667,27.65863337
mm1,1,4,2,0,0,0,1.038093688,1,4,47,96.02893083
moe1,0,6,0,0,0,0,0.81911592,1,2,4,50.240809
moimoi,0,2,1,5,0,10,0.729163319,5,2,0.666666667,0
molli,0,2,1,0,0,0,0.417003951,3,11,3.666666667,1.885618083
molly9,0,6,1,0,0,0,2.170992715,4,2,0.285714286,14.0043725
molly_c_howes,0,1,1,0,0,0,0.325427612,2,21,11.5,1
molly_schreiber,0,1,2,0,0,0,0.348084416,3,0,4.666666667,6.599663291
mom2e1,1,2,1,0,0,0,0.696168833,4,0,2,6.164414003
momofmar,0,6,3,0,0,0,2.187489958,5,3,0.444444444,11.97012743
momtoclara,0,0,1,0,0,0,0.36458166,6,2,2,0
monica1,0,5,0,0,0,0,1.336511428,1,3,1,32.0474648
monica6,0,2,0,0,0,0,0.729163319,3,5,2.5,1.5
mountain_biker,1,15,2,0,0,0,3.906065212,3,14,5.411764706,28.62851193
mrsbaloo,0,11,1,0,0,0,3.281234937,4,4,0.666666667,13.55928341
mrsilver,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
msann59,1,1,0,41,0,14,0.348084416,2,4,4,0
msd2013,0,6,4,0,0,0,1.251011853,6,3,1.4,23.7411036
mumof2,0,10,1,13,33.1,30.3,2.463168097,3,2,0.181818182,8.893306983
myhandsful,0,2,1,1,0,58,0.690009271,3,3,2.666666667,44.12356387
mylissa,0,2,0,0,0,0,0.379803176,1,2,14,13
mzbruner,0,9,2,0,0,0,2.928848504,4,1,0.090909091,2.699862255
n1njahczar,1,0,0,130,0,0,0,5,3.874194056,1.889718175,3.779269363
nadia_tasci,1,5,1,0,0,0,1.78375425,1,16,9.166666667,18.8650176
nairbyrod,0,2,0,0,4,10.5,0.696168833,4,7,3.5,3
nan_sojka,0,8,1,0,0,0,1.728102959,1,2,10.44444444,57.95592195
nanassetta,0,2,0,0,0,1985.5,0.325427612,0,5,6.5,4
nancy23,0,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
nancy43,0,4,0,0,0,0,1.392337665,7,8,2,5.629165125
nancy5,1,0,1,0,0,0,0,1,36,36,0
nancy6,1,2,1,0,0,0,0.802618677,1,0,15.66666667,21.6999744
nancy_miranda,0,0,1,0,0,0,0.36458166,1,1,1,0
nanette_stoots,1,8,0,0,0,0,1.788638084,2,2,0.25,5.487201017
nanna,0,0,1,3,0,0,0.178019898,4,8,8,0
nanny,0,0,1,0,0,0,0.36458166,1,0,0,0
naomi8,1,2,1,0,142,42,0.622794957,6,4,1.333333333,4.242640687
naomi_kingery,0,2,0,0,0,0,0.690009271,3,6,17.5,14.5
nathan4,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
nathan_schmittou,0,6,0,0,0,0,0.828998803,1,43,7.5,12.46885008
naz,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
ndxc,0,10,2,0,0,0,1.950265002,3,3,1.5,26.32634401
necie427,0,3,0,0,16.33333333,163,1.060750492,3,5,1.666666667,11.78511302
nellie1972,0,4,0,0,28.5,47.5,0.657720773,3,11,2.75,32.50384593
nelson1,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
netbadger,0,6,2,13,0,44,0.645533244,5,19,2.375,26.84678752
nevada,1,0,11,6,0,0,0.712666076,5,12,6.727272727,26.06920225
newfer,1,2,3,0,0,0,0.606297714,3,84,19.6,7.310266753
newfie89,0,3,1,7,0,21,1.093744979,5,16,4,0
nfb_77,0,3,1,0,0,0,1.044253249,3,2,0.5,15.15544457
nice_friend,0,3,0,0,0,0,1.093744979,1,12,4,2.943920289
nicholew28,0,28,3,0,0,0,9.480765458,6,25,1.096774194,24.75452849
nicks_dad,0,7,5,0,0,0,2.436590914,2,2,0.166666667,24.51813388
nikki_b,0,1,1,0,0,0,0,5,23,11.5,0
nilufer,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
ninja_lima_bean,0,1,1,0,0,0,0.348084416,3,25,13,0.5
ninoslav_raskovic,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
niz_roxanne,0,18,2,0,0,0,1.538023039,2,39,1.95,29.30268759
noah_b,0,2,4,0,0,0,1.301710446,1,0,1.166666667,8.820745748
noah_gardner,0,3,1,0,0,0,0.231409896,3,0,1,4.763139721
nonna2three,0,3,1,0,0,0,0.959621322,4,0,5.75,14.37010786
norcal_t1,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
nori,0,7,0,0,0,0,1.789913812,4,8,1.571428571,49.13164324
norma_steele,0,1,2,0,0,0,0.178019898,2,2,0.666666667,0.471404521
normdiver,0,4,1,0,0,0,1.392337665,2,8,1.6,35.84745458
nouran,1,4,1,0,0,0,1.015436883,2,2,0.4,6.112282716
nutrijoy,1,2,0,0,0,0,0.307126547,7,8,4.5,0.5
ohio_bike_man,0,6,0,0,0,0,1.73426252,2,33,20,56.54398485
oldspook,1,5,1,0,0,0,1.740422082,6,127,21.16666667,0.372677996
olga_gonzalez_ramos,1,3,2,0,0,0,0.828875121,1,15,4,2
omni_dad,0,1,1,0,0,0,0.712666076,3,0,29,29
onewolfprincess,0,10,4,18.33333333,6.3,85.6,0.503447509,0,1,0.142857143,1.052208562
onewp,0,3,1,0,0,21,0.231409896,4,9,2.25,0
onliner,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
optimis,0,0,1,0,0,0,0,4,0,0,0
orbiter7,1,0,1,4,0,0,0.36458166,5,6,6,0
orlando_dominguez,0,5,1,1,10.4,71.5,1.535463271,2,9,1.5,24.0970261
orna,0,2,0,0,0,0,0.696168833,1,8,4,2
orpy,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
otter1,0,2,2,0,0,0,0.286109294,5,0,7.75,13.42339376
p0wellman,1,7,2,4,2,15.42857143,2.088506498,3,58,6.444444444,3.314763087
p11,0,6,0,0,0,0,1.928779661,2,18,8.333333333,11.04033011
pa3305,0,25,1,0,0,0,9.042392957,5,104,4,23.68247173
paeng,0,5,1,0,0,0,1.601381286,4,24,4,0
paige,0,4,2,0,0,0,0.959621322,0,1,1.166666667,55.20995281
pamela10,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
pamela2,0,1,1,0,0,0,0.36458166,2,21,10.5,0
pamela4,0,2,0,0,0,0,0.468482259,3,43,21.5,4.5
pamela6,0,2,0,0,0,0,0.507636307,4,8,4,3.5
pamela_burnett,0,3,5,0,0,0,0.679153619,2,3,0.375,5.904182839
pamela_jackson,0,2,2,0,0,0,0,2,42,10.5,2.915475947
pamela_w,0,6,1,0,0,0,2.05353057,2,8,1.142857143,16.63411788
pammie_king,0,0,1,2,0,0,0.178019898,0,0,0,0
pastanamy,0,5,0,0,6,21.4,1.740422082,3,2,0.4,9.6
patiolite,0,2,0,0,11,7,0.056596792,4,9,4.5,6
patricia_bason,0,9,0,0,0,0,1.717765277,3,57,6.333333333,24.72515588
patricia_harmon,0,0,2,0,0,0,0.650855223,2,1,0.5,0.5
patrick_o_hea,0,2,0,0,0,0,0.36458166,1,3,1.5,9
patti3,0,0,1,0,0,0,0.36458166,1,0,0,0
patti_huston,1,0,3,0,0,0,0.976282835,2,0,0,2.357022604
patty7,0,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
paul_veal,1,3,0,0,0,0,0.783538883,6,16,5.333333333,21.63844316
paulk,0,5,1,0,0,0,1.740422082,5,4,14.16666667,30.1869177
pavlos,1,3,1,0,0,0,1.044253249,1,65,16.25,0.5
pc1,1,0,1,0,0,0,0.325427612,3,0,0,0
pebbles_audrey_smith,1,1,0,0,0,0,0.129106649,4,10,10,0
peg,1,1,0,0,0,0,0.348084416,1,2,2,0
pem,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
penguin_girl,0,17,1,0,0,0,4.568429581,2,108,10.44444444,50.73585067
penny4,0,2,0,0,0,0,0.729163319,1,2,1,8
perun,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
peruvianpasohi,1,1,0,0,3,5,0.348084416,3,2,2,0
pete2,0,11,2,0,0,0,3.82892858,3,5,0.384615385,45.77782725
peter11,0,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
peter_gibbs,0,0,1,0,0,0,0.325427612,0,7,7,0
peter_jones,0,6,0,0,0,0,1.149949666,2,2,5.5,17.35335382
phil_s_mom,0,2,3,0,0,0,0.690009271,3,13,2.6,14.12798641
phil_southerland,0,6,2,0,0,0,1.323862401,1,6,19.625,51.82165932
phill_connell,0,2,1,0,0,0,0.729163319,2,4,1.333333333,2.943920289
phoebe,0,3,0,0,0,0,0.712666076,4,43,14.33333333,0.942809042
pilgrimd,0,4,0,0,0,0,0.572218588,5,54,13.5,8.814051282
pippi,0,14,0,0,0,0,1.731705271,2,42,8.357142857,49.89913295
piscator,0,2,0,0,6,9,0.696168833,6,23,11.5,1
pixygirl,0,1,1,0,0,2,0,4,47,23.5,0
pj_sluder,0,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
plumberpat,0,4,1,0,0,28,1.301710446,4,9,1.8,0
podmom1,0,3,0,0,0,0,1.044253249,6,2,0.666666667,4.496912521
pom_mom,0,1,1,0,0,0,0.325427612,4,2,1,0
porter,0,3,1,0,0,0,1.054590931,2,5,1.25,3.464101615
potato_less_celt,0,0,4,0,0,0,0.998939639,4,1,0.25,2.872281323
powell1973,0,9,4,7.5,592.4444444,620.4444444,3.491181845,3,1,0.692307692,22.48970836
prettypoetcindy,0,3,2,4.5,396.3333333,781.3333333,1.015436883,3,0,0.2,1.624807681
probablyrachel,0,6,0,0,0,0,2.137998228,4,7,2.833333333,5.177408189
prompter_bob,0,5,0,0,0,0,0.890099489,5,33,6.6,5.2
puddlepirate88,1,1,0,0,57,21,0.36458166,6,4,4,0
punk,0,9,2,0,0,0,3.491181845,1,73,24.72727273,64.86744271
que,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
r11,0,2,0,0,0,0,0.673512028,1,2,1,11.5
rachael6,0,8,1,0,0,0,1.2155271,3,8,0.888888889,13.9761702
rachael7,0,3,1,0,0,0,0,4,1,0.5,0.433012702
rachael8,0,2,1,3,0,4,0.13783907,6,4,3.333333333,2.828427125
racheeh,1,0,1,0,0,0,0.36458166,4,15,15,0
rachel4,0,3,0,0,0,0,0.650855223,1,7,2.333333333,19.09624745
rachel5,0,0,1,0,0,0,0.36458166,1,0,0,0
rachel9,0,6,7,0,0,0,1.093744979,1,3,5.076923077,30.85660671
rachel_bruce,0,0,1,0,0,0,0.36458166,0,0,0,0
raisingainsley,0,13,0,0,0.230769231,39.07692308,4.739561576,3,15,1.153846154,20.65896656
ramon,0,3,0,0,0,0,1.060750492,4,2,5.333333333,8.041558721
ran_peace,1,2,1,1,0,6,0.108751128,6,48,16,0
randall_w_brown,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
randi_solomon,0,5,3,0,0,0,1.705446154,2,0,0.625,5.267826876
ravinder_kumar,0,5,4,3.5,63.2,59.4,1.232610829,2,15,4.666666667,12.5766784
ray,1,0,0,0,0,0,0,0,3.874194056,1.889718175,3.779269363
ray6,1,6,0,0,0,0,2.088506498,3,3,0.5,22.80898946
rblcpacfo,0,4,1,1,4.5,56.5,1.425332152,1,125,34.2,24.38360105
realmccoy,0,3,2,95,0,50,1.441829395,4,0,2.8,5.6
realsis77,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
rebecca14,1,14,2,0,0,0,1.293787841,2,8,0.9375,53.98086322
rebecca_m_rodick,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
rebecca_taylor,0,0,1,0,0,0,0.077136632,2,0,0,0
rene,0,1,0,0,0,0,0.325427612,3,69,69,0
renea,1,8,3,0,0,0,2.784675331,4,3,0.909090909,6.314092856
renee,0,1,4,0,0,0,1.053419467,0,0,1,1.743559577
renka,1,2,18,20.07142857,0,34,0.998939639,4,1,6.65,44.32256762
respod,0,2,1,3,6,51,0.696168833,3,4,1.333333333,4.18993503
rex,0,5,0,0,0,0,1.649794863,6,42,10.2,7.359347797
rgcainmd,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
rhee,0,5,0,0,0,0,1.822908298,3,48,9.6,31.29472799
rhonda,0,1,1,0,0,0,0.348084416,0,0,42.5,42.5
ric,0,0,1,0,0,0,0.325427612,1,0,0,0
richard_carbajal,0,2,0,0,0,0,0.690009271,2,5,7,4.5
richielj,0,9,1,12,8.777777778,21.88888889,1.749586793,1,8,0.8,15.19868415
rickn,0,2,0,0,0,0,0.286109294,6,11,5.5,1
rickselvik,0,1,1,1,0,0,0.477191065,3,0,35.5,35.5
ricmac,0,5,8,0.857142857,0.4,2.8,1.627138058,0,69,5.384615385,1.002954216
rigney,0,2,0,0,0,0,0.36458166,0,13,6.5,3
rik_wade,1,3,0,0,0,0,0.154273264,1,10,3.333333333,16.26857912
rikki,0,0,1,0,0,0,0,3,3,3,0
riley,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
rinku,0,1,0,0,0,0,0.36458166,5,32,32,0
rishona,0,11,1,0,0,0,3.971244208,0,6,0.5,13.92739108
ritesh,0,1,1,0,0,0,0.36458166,6,9,5,0.5
riva_greenberg,1,2,3,0,0,0,0.690009271,2,2,0.4,6.368673331
rob10,0,2,2,0,0,0,0.45453426,3,0,3,4.74341649
rob3,0,12,2,0,0,0,1.811399152,1,5,2.214285714,19.81766374
rob_chambers,0,2,0,0,0,0,0.36458166,1,15,25.5,18
robert1,0,3,0,0,0,0,0.45453426,0,6,2,7.363574011
robert2,0,1,2,0,0,0,0.650855223,0,1,2.666666667,3.091206165
robert23,0,4,1,0,0,0,1.458326639,6,63,12.6,4.4
robert3,0,5,0,0,0,0,1.570357563,1,50,10.4,0.8
robert_mitchell,0,0,2,0,0,0,0.325427612,0,0,0,0
robert_yancey,0,10,2,0,0,0,2.463041999,2,32,2.75,40.9640764
robin1,0,2,1,0,0,0,0.690009271,1,1,3.333333333,4.242640687
robin_lynn_macke,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
robin_m,1,0,10,0,0,0,3.480844163,1,4,0.4,27.43428512
robin_m1,1,1,0,0,0,0,0.36458166,2,7,7,0
robtjr60,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
roddy_pippin,0,2,0,0,0,0,0.650855223,2,15,7.5,2.5
roggman,0,2,0,0,23.5,3,0.36458166,4,12,7,1
rolland1,0,5,2,0,0,0,1.224068964,3,2,3.714285714,13.2495668
rolly,0,2,1,0,0,0,0.673512028,1,6,2,6.018490028
romintek,1,3,0,0,0,0,1.044253249,3,5,1.666666667,1.699673171
ron_doyle,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
ron_pierce,0,3,0,0,0,0,0.858269968,2,6,23,36.68787266
ronbo,0,5,0,0,0,0,1.215023756,4,63,16.2,6.97423831
ronn,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
roop,1,3,1,0,0,0,0.690009271,4,95,23.75,0.866025404
rosemary_ekeng,0,3,1,0,0,0,0.325427612,2,10,3,0.866025404
rosemary_humby,1,1,0,0,0,0,0.348084416,2,5,5,0
rosemary_ward,0,0,2,0,0,0,0.503447509,1,1,0.5,0
rosie_barger,0,0,1,0,0,0,0.36458166,0,2,2,0
rosswa62,0,2,0,0,0,0,0,3,13,6.5,13
rotti,0,21,4,0,0,0,3.438862165,4,16,0.64,29.53522643
roy3,0,2,1,0,0,0,1.054590931,7,0,9,12.72792206
rsagall,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
runjrun,0,4,0,0,0,18,0.729163319,5,43,10.75,36.67764987
runningtheriver,0,6,1,6,0,23.83333333,0.348084416,5,37,6.142857143,27.69660703
runtostopdiabetes_co,0,2,1,2,22.5,76.5,0.402564244,3,5,7.666666667,8.259674462
ruth_dallas,0,1,1,0,0,0,0.493688308,2,8,4,0
ryebrizzle,0,3,1,40,0,915,0,3,13,3.25,0
sam7,1,0,1,1,0,0,0.36458166,3,0,0,0
samantha,0,12,5,0,0,0,2.799191133,1,30,1.882352941,31.89493999
samantha4,1,6,2,0,0,0,1.340700225,2,29,6.25,10.52378259
sami,1,2,0,0,0,0,0.40245998,1,60,30,0
samiiig,1,17,5,0,0,0,3.36671363,4,24,1.090909091,13.44317702
sandra_holloway,0,2,0,0,0,0,0.696168833,2,40,20,5
sandra_lis_gomez,0,1,0,0,0,0,0.348084416,2,19,19,0
sandy11,0,7,0,0,0,0,0.816886287,3,11,4.285714286,20.46500248
sandy5,0,8,1,0,0,0,1.750759764,2,116,19,22.852182
sandy_summers,0,2,0,0,0,0,0.325427612,2,15,20,12.5
santi,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
sara_louise,1,2,1,0,0,0,0.690009271,5,2,0.666666667,0
sara_myers,0,3,1,0,0,0,1.038093688,2,67,16.75,39.74528274
sarah48,0,10,0,0,0,0,0.54375564,4,18,1.8,40.5720347
sarah_d,0,3,1,0,0,0,1.093744979,5,0,0.5,0.866025404
sarah_freimuth,0,0,1,0,0,0,0.348084416,4,1,1,0
sarah_jane1,0,0,1,61,0,0,0.36458166,3,0,0,0
sarah_kay,0,0,6,0,0,0,0.441718292,0,0,0.166666667,0.577350269
sarapova24,0,2,0,0,0,0,0.36458166,5,17,11,2.5
sasha1,0,27,2,0,0,0,7.38780327,4,12,0.413793103,17.1325531
sboicourt,0,3,2,10.5,7,35,1.044253249,4,4,1.4,1.2
scott15,0,10,1,0,0,0,0.673512028,2,14,6.363636364,26.33478045
scott20,0,4,0,0,0,0,1.015436883,3,67,20.5,18.12456896
scott_angove,0,2,0,0,0,0,0.673512028,2,6,10.5,7.5
scottie,0,6,2,0,0,0,1.750759764,2,9,1.125,12.96569994
scottyd,1,4,0,0,0,0,0.477191065,5,118,32,31.20096152
scubasu,0,17,2,0,0,0,2.367468979,4,10,0.526315789,17.84683992
seagull,0,2,0,0,0,61,0.286109294,3,42,21,1.5
sean_busby,0,1,4,0,0,0,0.441718292,1,7,1.4,0
sean_jelosek,0,31,2,0,0,0,7.316139539,2,11,0.454545455,128.4574728
secret_squirrel,0,4,0,0,0,0,0.804919961,6,7,7.75,13.97095201
seda,0,1,1,0,0,0,0.325427612,2,0,7,7
seer,0,4,1,0,0,0,1.392337665,4,1,0.2,6.4
sefra1,0,0,1,2,0,0,0,5,0,0,0
sei,0,2,2,1.666666667,0,8,0,3,1,0.25,1.732050808
seichel,0,3,0,0,14.66666667,6,1.093744979,6,4,1.333333333,8.956685895
seth_rothberg,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
sfshawn,0,0,2,0,0,0,0.650855223,3,0,0,0.5
sh4dowdrifter,0,5,0,0,7.4,68.4,1.425332152,6,2,0.4,5.2
shadow1,0,0,1,168,0,0,0.325427612,3,0,0,0
shae,1,2,0,0,94.5,85.5,0.650855223,1,19,9.5,26.5
shaelah_huntington,0,3,0,0,0,0,0.690009271,5,6,17.33333333,18.83259586
shaheedat,0,3,1,0,0,0,0.976282835,6,12,3.25,0.707106781
shana3,0,6,1,0,0,0,1.740422082,6,0,0.857142857,4.199125273
shandy,0,1,1,0,0,0,0.36458166,3,0,14,14
shane2,0,6,1,0,0,0,1.806411055,2,4,0.714285714,5.624291339
shannon10,0,2,1,0,0,0,0.650855223,3,8,2.666666667,0
shannon3,1,2,0,0,0,0,0.650855223,2,7,3.5,0
shannon_l,0,7,0,0,0,0,2.076808997,0,11,3.857142857,25.69999603
sharon4,1,1,0,0,0,0,0.36458166,2,11,11,0
sharon_fung,1,0,12,0,0,0,1.106199299,3,19,1.583333333,11.89158199
shauna_dunlap,0,2,1,0,0,0,0.36458166,5,5,5.666666667,5.249338583
shell_smitty,0,12,5,0,0,0,3.579703727,4,4,0.235294118,27.15201344
shellgolladay,0,9,1,0,0,0,3.14925699,3,33,5.3,32.3041793
shelly4,1,7,3,10.16666667,10.71428571,9.285714286,1.038093688,3,10,1,50.23395266
sherri1,0,2,1,0,0,0,1.054590931,1,1,10,13.6707311
sherry3,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
sherry_ann,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
sherryann,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
sheryl_lauria,0,4,0,0,0,59,1.419172591,2,14,8.25,27.13277538
shirley_reynolds,1,2,2,0,0,0,0.36458166,2,17,4.25,42.09141837
shirleyanne,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
shore,0,3,4,0,0,0,0.81911592,2,2,1.571428571,16.42049491
si_greenwood,1,1,2,0,0,0,0.348084416,2,11,4,0.471404521
sidkd5,0,3,1,0,0,0,0.976282835,4,0,0.25,3.201562119
sigelopisan,0,5,1,5,4.4,14.8,1.535463271,4,59,9.833333333,19.30817328
silverdandme,0,3,2,3.5,3.333333333,25.33333333,0.673512028,3,31,6.2,7.2
silverlining1,1,3,1,1,23,17,0.534059693,5,2,0.5,0
simon_carter,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
simone,0,3,0,0,0,0,1.044253249,7,2,0.666666667,7.542472333
simsonay,0,5,1,12,48,67,1.717765277,4,8,1.333333333,2.867441756
singh,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
skier304,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
skinny_type_1,1,8,0,0,41.875,35.42857143,2.475226992,5,61,7.625,31.39640704
skyelanford,0,1,1,0,0,0,0.348084416,3,2,4.5,3.5
slack,0,11,0,0,9.363636364,34.72727273,3.308808881,4,8,2.090909091,26.15370966
slippery_buffalo,0,3,0,0,0,0,1.044253249,4,8,2.666666667,0.942809042
sluggo,0,4,0,0,0,0,1.392337665,6,26,6.5,14.70331595
slvdr,0,4,0,0,0,0,1.392337665,3,10,2.5,24.5
snorkeler,0,0,1,0,0,0,0.054375564,5,7,7,0
something_exotic,1,6,0,0,0.666666667,41.66666667,1.916471215,4,3,0.5,0.942809042
sonik_porwal,0,1,1,0,0,0,0.348084416,2,34,17,0
sonya4,0,3,0,0,0,0,1.044253249,7,7,2.333333333,2.828427125
southern_sweetblood,0,2,0,0,0,0,0.650855223,3,9,4.5,1.5
sparrowrose,1,4,0,0,8,21.5,0.650690954,1,11,3.5,1.785357107
sprmom,1,14,0,0,48.5,61.14285714,2.958909966,5,6,0.642857143,8.672028692
stacey9,0,2,0,0,0,0,0.729163319,3,13,6.5,12
stacey_chipka,0,3,1,0,0,0,0.348084416,4,61,19.25,38.98958194
staci,1,3,0,0,0,0,1.044253249,0,29,9.666666667,7.542472333
static192,0,2,4,4.75,0,52,0.937812147,6,0,2.666666667,7.542472333
stefan1,0,1,1,0,0,0,0.690009271,3,1,1,0.5
steff_smiley,0,3,1,0,0,0,0.976282835,0,67,16.75,5.629165125
stephanie10,0,5,0,0,0,0,0.36458166,4,5,3,3.487119155
stephanie22,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
stephanie_atkins,0,10,3,0,0,0,3.371187538,1,1,4.692307692,30.72111623
stephd14,0,3,0,0,20,4.666666667,0.779961872,7,13,4.333333333,0.942809042
stephen2,0,3,0,0,0,0,0.493688308,2,6,2,8.013876853
stepht,0,1,1,0,0,0,0.325427612,7,26,14,1
steve16,0,2,0,0,0,0,0.729163319,3,3,1.5,6.5
steve37,0,4,0,0,0,0,1.392337665,7,7,1.75,7.95298686
steve39,0,0,1,0,0,0,0.077136632,7,0,0,0
steve_connolly,0,0,1,0,0,0,0.36458166,2,2,2,0
steve_consani,0,0,1,0,0,0,0.178019898,1,1,1,0
steve_goldberg,1,3,1,0,0,0,1.044253249,1,23,5.75,0
steve_hackenberg,1,3,0,0,0,0,1.093744979,2,11,3.666666667,24.38578821
steven_coutu,0,9,0,0,2.666666667,99.44444444,1.744600202,2,24,3.777777778,12.76085836
stonefish,1,0,1,0,0,0,0.36458166,4,88,88,0
stoner,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
stooovie,1,0,1,0,0,0,0.36458166,3,43,43,0
strawberrieebel,0,0,1,1,0,0,0,3,6,6,0
sue22,0,2,0,0,0,0,0.258213298,4,36,18,1
sue28,0,0,1,0,0,0,0.325427612,5,53,53,0
sue_rericha,1,8,0,0,0,0,2.496420326,3,13,1.625,46.10585646
sue_starcevich,0,1,1,0,0,0,0.45453426,2,0,3,3
suesue,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
suezq1949,1,3,0,0,53.33333333,46.33333333,1.038093688,4,7,2.333333333,1.247219129
sugah_daddy,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
sugar_plum,1,5,0,0,0,0,0.976282835,1,12,2.4,43.27401068
sugar_rocket,0,1,2,0,0,0,0.690009271,5,52,17.33333333,0
sugardoc,0,7,0,0,0,0,1.100067504,4,22,3.142857143,8.987519691
sugarfreeoreo,0,6,2,0,0,0,1.756919325,5,33,4.125,9.010410645
suhen,1,2,1,0,0,0,0.729163319,7,6,2,1.885618083
sukar,0,3,0,0,0,0,1.044253249,4,11,3.666666667,8.993825042
sunflower_sandra,0,2,0,0,0,0,0.325427612,3,4,2,8.5
sunnywatt,0,5,0,0,57.8,14.2,1.537941557,6,46,10.8,3.773592453
susan38,0,8,0,0,6.25,10,2.277993281,4,3,0.375,8.045767521
